	RTK RAS	Cell Cycle	PI3K	TP53	NOTCH	WNT	MYC	HIPPO	TGF-Beta	NRF2
ACC	22	30	16	28	11	41	7	5	1	0
BLCA	64	81	46	62	42	20	18	26	9	9
BRCA LumA	28	31	62	25	14	15	12	5	4	1
BRCA Her2	82	40	60	78	18	17	29	10	8	1
BRCA LumB	44	48	48	49	25	31	26	15	10	2
BRCA Normal	36	36	33	31	3	6	19	3	0	0
BRCA Basal	46	51	53	91	38	11	39	14	8	4
CESC SquamousCarcinoma	33	19	59	12	35	12	5	33	11	10
CESC AdenoCarcinoma	60	21	56	19	30	14	16	14	21	5
CHOL	56	53	17	19	8	17	19	17	3	6
DLBC	24	76	8	19	70	70	14	35	14	0
LGG IDHwt	82	64	47	29	27	5	1	5	0	0
HNSC HPV-	45	86	39	82	36	16	20	42	13	13
HNSC HPV+	26	32	60	11	25	8	4	8	11	1
KICH	5	23	15	32	3	3	2	3	5	0
KIRC	14	14	17	6	8	7	5	5	3	3
KIRP	17	12	8	4	12	9	6	11	1	6
LAML	49	17	3	9	18	11	2	3	1	1
LGG IDHmut-non-codel	19	28	15	92	24	8	10	92	21	1
LGG IDHmut-codel	9	45	22	5	26	66	3	99	50	0
LIHC	22	69	25	37	26	43	19	12	7	7
LUAD	74	56	38	61	21	19	23	23	10	15
LUSC	54	79	68	86	31	18	12	28	11	25
MESO	9	54	13	21	9	6	7	40	2	0
OV	58	48	49	96	28	10	40	21	5	5
PAAD	78	70	19	69	14	13	14	7	41	0
PCPG	32	15	6	6	11	10	1	4	1	0
PRAD	16	28	32	21	13	35	11	5	6	1
SARC DDLPS	43	83	20	85	17	15	7	9	7	0
SARC Other	25	30	15	5	5	5	0	10	0	0
SARC LMS	31	55	33	71	14	11	4	4	1	4
SARC MFS/UPS	48	74	33	68	34	20	8	21	6	4
SKCM	95	77	33	28	27	23	10	25	7	1
THCA	84	14	4	1	4	13	2	1	3	0
THYM	14	9	4	7	5	7	1	7	3	2
TGCT seminoma	63	8	11	6	6	0	2	0	0	0
TGCT non-seminoma	20	7	5	5	16	2	0	10	2	0
UCEC CN_HIGH	61	43	86	90	32	18	31	13	5	5
UCEC CN_LOW	37	9	95	10	14	54	10	7	1	5
UCEC POLE	88	47	98	61	90	84	53	92	51	33
UCEC MSI	66	26	99	36	56	66	22	43	24	14
UCS	61	70	79	91	54	18	27	16	4	4
UVM	6	6	4	3	10	1	3	10	0	1
STES_CIN	63	74	33	76	21	26	21	16	23	2
STES_GS	31	39	18	24	31	20	12	4	20	2
STES_EBV	50	100	80	13	83	67	7	10	17	0
STES_MSI_POLE	73	64	64	49	79	70	19	54	57	2
STES_Squamous	50	89	53	96	38	13	22	21	13	23
CRC_MSI_POLE	99	74	68	49	74	95	52	64	55	1
CRC_GS	88	45	53	19	29	90	21	10	38	5
CRC_CIN	66	36	32	84	23	91	17	8	22	1
GBM	77	86	57	48	18	8	6	10	2	0

